player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Mathias Honsak,Heidenheim,"MF,FW",28,1249,0.14,0.07,2.23,0.58,1.799,1.223,0.863,0.791,1.079,0.647,,mathias honsak,2027-06-30,283497,2026-07-03T17:44:43,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/283497-1721852632.jpg?lm=1
Mikkel Kaufmann,Heidenheim,FW,24,537,0.17,0.17,1.84,0.5,0.167,0.167,0.333,2.333,2.167,0.167,,mikkel kaufmann,2028-06-30,545332,2026-07-03T17:44:43,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/545332-1755087336.jpg?lm=1
Niklas Dorsch,Heidenheim,MF,27,2258,0.0,0.04,0.56,0.12,1.315,0.757,1.235,1.195,1.076,0.04,,niklas dorsch,2028-06-30,251302,2026-07-03T17:44:43,2024-08-30,,https://img.a.transfermarkt.technology/portrait/medium/251302-1755087869.jpg?lm=1
Omar Traoré,Heidenheim,"DF,MF",27,1501,0.0,0.12,0.6,0.12,2.216,1.018,0.659,1.317,1.138,0.12,,omar traore,,,,,,
Patrick Mainka,Heidenheim,DF,30,3060,0.06,0.06,1.09,0.26,0.0,1.059,0.882,0.294,0.588,0.088,,patrick mainka,2029-06-30,133731,2026-07-03T17:44:43,2018-07-01,,https://img.a.transfermarkt.technology/portrait/medium/133731-1755087959.jpg?lm=1
Sirlord Conteh,Heidenheim,"MF,FW",29,625,0.29,0.14,1.44,0.43,2.464,0.58,1.014,1.014,1.449,1.159,,sirlord conteh,2027-06-30,307183,2026-07-03T17:44:43,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/307183-1721852922.jpg?lm=1
Stefan Schimmer,Heidenheim,FW,31,820,0.55,0.11,3.51,1.32,1.099,0.44,0.44,1.429,0.549,0.44,,stefan schimmer,,,,,,
Thomas Keller,Heidenheim,DF,25,188,0.0,0.0,0.96,0.0,0.476,0.0,0.476,1.429,0.952,0.0,,thomas keller,2028-06-30,485747,2026-07-03T17:44:43,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/485747-1755089451.jpg?lm=1
Tim Siersleben,Heidenheim,DF,25,1081,0.0,0.0,0.42,0.25,1.083,1.75,1.333,1.083,1.083,0.083,,tim siersleben,2028-06-30,337092,2026-07-03T17:44:43,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/337092-1755087413.jpg?lm=1
Tobias Weigel,Heidenheim,FW,18,2,0.0,0.0,0.0,0.0,,,,,,,,tobias weigel,,,,,,
Yannik Wagner,Heidenheim,FW,18,49,0.0,0.0,1.84,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,yannik wagner,2029-06-30,1153628,2026-07-03T17:44:43,2025-07-30,,https://img.a.transfermarkt.technology/portrait/medium/1153628-1755088844.jpg?lm=1
Adam Hložek,Hoffenheim,"FW,MF",23,41,0.0,0.0,6.59,2.2,0.0,0.0,0.0,0.0,2.0,0.0,,adam hlozek,2029-06-30,552057,2026-07-03T17:44:47,2024-08-17,,https://img.a.transfermarkt.technology/portrait/medium/552057-1755092070.jpg?lm=1
Albian Hajdari,Hoffenheim,DF,22,2434,0.04,0.07,0.7,0.15,0.704,1.556,1.407,1.593,0.852,0.0,,albian hajdari,2031-06-30,579459,2026-07-03T17:44:47,2025-08-25,,https://img.a.transfermarkt.technology/portrait/medium/579459-1755184688.jpg?lm=1
Alexander Prass,Hoffenheim,MF,24,1308,0.21,0.14,1.24,0.76,3.241,0.414,1.517,1.793,1.448,0.138,,alexander prass,2028-06-30,434116,2026-07-03T17:44:47,2024-08-05,,https://img.a.transfermarkt.technology/portrait/medium/434116-1723921044.jpg?lm=1
Andrej Kramarić,Hoffenheim,"MF,FW",34,2207,0.37,0.24,2.61,1.35,3.347,0.286,0.204,0.204,0.571,0.204,,andrej kramaric,2028-06-30,46580,2026-07-03T17:44:47,2016-07-01,,https://img.a.transfermarkt.technology/portrait/medium/46580-1755089885.jpg?lm=1
Arthur Chaves,Hoffenheim,DF,24,240,0.0,0.0,0.37,0.0,0.741,1.111,1.852,1.852,1.111,0.0,,arthur chaves,2029-06-30,875332,2026-07-03T17:44:47,2024-08-30,,https://img.a.transfermarkt.technology/portrait/medium/875332-1773660988.jpg?lm=1
Bazoumana Touré,Hoffenheim,"MF,FW",19,2308,0.19,0.35,1.87,0.51,4.609,0.234,0.859,1.719,1.133,0.312,,bazoumana toure,2029-06-30,1067904,2026-07-03T17:44:47,2025-02-01,,https://img.a.transfermarkt.technology/portrait/medium/1067904-1755092124.jpg?lm=1
