squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Lens,2026,summer,out,Fodé Sylla,fode sylla,Defensive Midfield,20,France,FC Sion,,?,https://img.a.transfermarkt.technology/portrait/medium/955359-1738847552.jpg?lm=1
Lens,2026,summer,out,Yannick Pandor,yannick pandor,Goalkeeper,25,Comoros,Amiens SC,,?,https://img.a.transfermarkt.technology/portrait/medium/804829-1765370767.png?lm=1
Lens,2026,summer,out,Kembo Diliwidi,kembo diliwidi,Left Winger,20,France,FCV Dender EH,,?,https://img.a.transfermarkt.technology/portrait/medium/1160813-1738585501.jpg?lm=1
Lens,2026,summer,out,Anthony Bermont,anthony bermont,Left Winger,21,France,Angers SCO,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/1088110-1741877893.jpg?lm=1
Lens,2026,summer,out,Malang Sarr,malang sarr,Centre-Back,27,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/344596-1606395203.png?lm=1
Lens,2026,summer,out,Allan Saint-Maximin,allan saint-maximin,Left Winger,29,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/272642-1728392760.JPG?lm=1
Lens,2026,summer,out,Wesley Saïd,wesley said,Second Striker,31,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/182916-1593971458.jpg?lm=1
Lens,2026,summer,out,Mathieu Gorgelin,mathieu gorgelin,Goalkeeper,35,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/60543-1704795204.jpg?lm=1
Lens,2026,summer,out,Régis Gurtner,regis gurtner,Goalkeeper,39,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/39918-1656081292.jpg?lm=1
Lens,2026,summer,out,Saud Abdulhamid,saud abdulhamid,Right-Back,26,Saudi Arabia,Roma,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/631927-1730124451.jpg?lm=1
Lens,2026,summer,out,Arthur Masuaku,arthur masuaku,Left-Back,32,DR Congo,Sunderland,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/181380-1767006082.jpg?lm=1
Lille,2026,summer,in,Başar Önal,basar onal,Left Winger,22,Türkiye,NEC Nijmegen,12500000.0,€12.50m,https://img.a.transfermarkt.technology/portrait/medium/864112-1764255727.png?lm=1
Lille,2026,summer,in,Loun Srdanovic,loun srdanovic,Right-Back,19,Switzerland,Servette FC,3000000.0,€3.00m,https://img.a.transfermarkt.technology/portrait/medium/999886-1684511097.jpg?lm=1
Lille,2026,summer,in,Mohamed Bayo,mohamed bayo,Centre-Forward,28,Guinea,Gaziantep FK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/594991-1756720669.jpg?lm=1
Lille,2026,summer,in,Ugo Raghouber,ugo raghouber,Defensive Midfield,22,France,Levante,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/707230-1678906674.jpg?lm=1
Lille,2026,summer,in,Isaac Cossier,isaac cossier,Centre-Back,19,France,Le Mans FC,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1160753-1778703023.jpg?lm=1
Lille,2026,summer,in,Tiago Morais,tiago morais,Left Winger,22,Portugal,Casa Pia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/815652-1737125350.jpg?lm=1
Lille,2026,summer,in,Vincent Burlet,vincent burlet,Left Midfield,20,Belgium,US Boulogne,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/920939-1756762007.jpg?lm=1
Lille,2026,summer,in,Lisandru Olmeta,lisandru olmeta,Goalkeeper,20,France,SC Bastia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/810789-1762876205.png?lm=1
Lille,2026,summer,out,Rafael Fernandes,rafael fernandes,Centre-Back,24,Portugal,Marítimo,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/744074-1649754949.jpg?lm=1
Lille,2026,summer,out,Nabil Bentaleb,nabil bentaleb,Defensive Midfield,31,Algeria,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/245537-1672670443.jpg?lm=1
Lille,2026,summer,out,Chancel Mbemba,chancel mbemba,Centre-Back,31,DR Congo,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/203348-1767006126.jpg?lm=1
Lille,2026,summer,out,Thomas Meunier,thomas meunier,Right-Back,34,Belgium,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/100986-1783005936.jpg?lm=1
Lille,2026,summer,out,Aïssa Mandi,aissa mandi,Centre-Back,34,Algeria,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/80293-1780325909.jpg?lm=1
Lille,2026,summer,out,Marc-Aurèle Caillard,marc-aurele caillard,Goalkeeper,32,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/205465-1697462573.png?lm=1
Lille,2026,winter,in,Ignacio Miramón,ignacio miramon,Defensive Midfield,23,Argentina,Gimnasia,,End of loan 31/12/2026,https://img.a.transfermarkt.technology/portrait/medium/836518-1739897521.jpg?lm=1
Lorient,2026,summer,in,Alec Georgen,alec georgen,Right-Back,27,France,USL Dunkerque,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/324800-1778861480.jpg?lm=1
