player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Remko Pasveer,Ajax,GK,41.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,remko pasveer,,,,,,
Sean Steur,Ajax,MF,17.0,1129,0.08,0.08,1.2,0.64,0.16,0.56,0.88,0.48,0.96,0.0,,sean steur,2028-06-30,1111063,2026-07-07T15:11:19,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/1111063-1758310610.jpg?lm=1
Steven Berghuis,Ajax,"FW,MF",33.0,1134,0.32,0.16,3.25,1.27,5.317,0.635,0.714,0.635,0.873,0.159,,steven berghuis,2027-06-30,129554,2026-07-07T15:11:19,2021-07-16,,https://img.a.transfermarkt.technology/portrait/medium/129554-1668696215.jpg?lm=1
Takehiro Tomiyasu,Ajax,DF,26.0,207,0.0,0.0,0.43,0.0,0.0,2.609,0.87,0.87,0.87,0.0,,takehiro tomiyasu,,,,,,
Vitezslav Jaros,Ajax,GK,24.0,1710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,vitezslav jaros,,,,,,
Wout Weghorst,Ajax,FW,32.0,1784,0.4,0.2,2.57,0.86,0.202,0.152,0.303,1.465,1.566,0.859,,wout weghorst,,,,,,
Youri Baas,Ajax,DF,22.0,2759,0.13,0.03,0.52,0.23,0.098,1.075,1.042,0.879,1.205,0.033,,youri baas,2028-06-30,559327,2026-07-07T15:11:19,2023-01-01,,https://img.a.transfermarkt.technology/portrait/medium/559327-1689414712.jpg?lm=1
Youri Regeer,Ajax,"MF,DF",21.0,1689,0.0,0.11,0.53,0.11,0.851,1.223,1.702,0.957,0.957,0.0,,youri regeer,2029-06-30,559324,2026-07-07T15:11:19,2025-01-24,,https://img.a.transfermarkt.technology/portrait/medium/559324-1723819538.jpg?lm=1
Adam Carlén,Excelsior,MF,25.0,1229,0.0,0.07,0.59,0.07,0.146,0.73,1.46,1.606,0.657,0.073,,adam carlen,2027-06-30,675844,2026-07-07T15:12:02,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/675844-1753351581.jpg?lm=1
Arthur Zagre,Excelsior,DF,23.0,2384,0.11,0.08,0.98,0.34,1.547,1.094,1.208,1.208,0.642,0.075,,arthur zagre,,,,,,
Calvin Raatsie,Excelsior,GK,23.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,calvin raatsie,2027-06-30,485588,2026-07-07T15:12:02,2024-07-16,,https://img.a.transfermarkt.technology/portrait/medium/485588-1753351732.jpg?lm=1
Casper Widell,Excelsior,DF,22.0,3053,0.03,0.03,0.56,0.12,0.088,1.032,0.619,0.708,0.265,0.0,,casper widell,2027-06-30,605395,2026-07-07T15:12:02,2023-07-12,,https://img.a.transfermarkt.technology/portrait/medium/605395-1722335820.jpg?lm=1
Chris Nadje,Excelsior,MF,23.0,237,0.0,0.0,1.52,0.0,1.154,0.769,0.769,1.538,2.308,0.0,,chris nadje,,,,,,
Derensili Fernandes,Excelsior,"MF,FW",24.0,2484,0.22,0.11,2.17,0.72,2.572,0.399,0.471,1.522,1.087,0.145,,derensili fernandes,,,,,,
Emil Hansson,Excelsior,"MF,FW",27.0,576,0.16,0.16,1.25,0.78,6.25,0.156,0.156,0.469,0.156,0.0,,emil hansson,,,,,,
Guilliano Cairo,Excelsior,,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,guilliano cairo,,,,,,
Gyan de Regt,Excelsior,"MF,FW",21.0,2656,0.1,0.24,1.42,0.58,6.441,0.305,0.475,1.119,0.78,0.305,,gyan de regt,2027-06-30,747243,2026-07-07T15:12:02,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/747243-1753351770.jpg?lm=1
Ilias Bronkhorst,Excelsior,DF,28.0,2349,0.08,0.0,0.5,0.15,3.027,1.111,0.958,1.149,0.843,0.0,,ilias bronkhorst,,,,,,
Irakli Yegoian,Excelsior,MF,21.0,2672,0.17,0.07,1.82,0.47,1.212,1.178,1.145,0.741,1.212,0.101,,irakli yegoian,2028-06-30,806245,2026-07-07T15:12:02,2025-08-19,,https://img.a.transfermarkt.technology/portrait/medium/806245-1723104062.jpg?lm=1
Jerolldino Bergraaf,Excelsior,FW,19.0,1050,0.0,0.0,1.63,0.26,0.085,0.256,0.342,1.966,1.111,0.342,,jerolldino bergraaf,2028-06-30,1142631,2026-07-07T15:12:02,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1142631-1750415277.jpg?lm=1
Lennard Hartjes,Excelsior,MF,22.0,1552,0.06,0.0,0.64,0.12,0.407,1.163,1.395,0.872,0.698,0.0,,lennard hartjes,2027-06-30,595238,2026-07-07T15:12:02,2024-07-26,,https://img.a.transfermarkt.technology/portrait/medium/595238-1753351699.jpg?lm=1
Lewis Schouten,Excelsior,"DF,MF",21.0,1357,0.07,0.0,0.8,0.33,0.265,1.126,1.06,1.325,0.662,0.066,,lewis schouten,,,,,,
Mathijs Tielemans,Excelsior,MF,23.0,131,0.0,0.0,0.69,0.69,2.0,2.0,0.0,1.333,0.667,0.0,,mathijs tielemans,2028-06-30,608889,2026-07-07T15:12:02,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/608889-1753351210.jpg?lm=1
Mike van Duinen,Excelsior,FW,33.0,720,0.12,0.25,2.25,0.5,0.0,0.25,1.125,3.5,0.5,0.25,,mike van duinen,,,,,,
Miliano Jonathans,Excelsior,MF,21.0,227,0.79,0.0,3.17,1.59,3.6,0.0,0.8,2.0,3.6,0.0,,miliano jonathans,,,,,,
Nesto Groen,Excelsior,FW,21.0,19,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,,nesto groen,2027-06-30,775044,2026-07-07T15:12:02,2024-07-11,,https://img.a.transfermarkt.technology/portrait/medium/775044-1753351530.jpg?lm=1
Noa El Hamdaoui,Excelsior,MF,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,noa el hamdaoui,,,,,,
Noah Naujoks,Excelsior,"MF,FW",23.0,2320,0.31,0.04,2.44,0.93,0.465,0.736,1.047,1.822,1.163,0.116,,noah naujoks,2027-06-30,578544,2026-07-07T15:12:02,2023-01-30,,https://img.a.transfermarkt.technology/portrait/medium/578544-1753351488.jpg?lm=1
Nolan Martens,Excelsior,DF,21.0,478,0.0,0.19,0.19,0.0,2.075,1.132,1.698,0.566,0.0,0.189,,nolan martens,2027-06-30,720189,2026-07-07T15:12:02,2025-01-23,,https://img.a.transfermarkt.technology/portrait/medium/720189-1753351301.jpg?lm=1
