detected_at,squad,player,norm_key,tm_id,joined_date,contract_until,contract_signal,tm_photo,source
2026-07-03T08:32:04,Osasuna,Sheraldo Becker,sheraldo becker,188888,2025-09-01,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/188888-1692707512.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Rubén García,ruben garcia,213260,2019-07-01,2019-07-01,,https://img.a.transfermarkt.technology/portrait/medium/213260-1583310204.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Kike Barja,kike barja,298575,2018-01-01,2018-01-01,,https://img.a.transfermarkt.technology/portrait/medium/298575-1583310743.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Iker Benito,iker benito,710679,2023-07-01,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/710679-1732219683.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Raúl García,raul garcia,631002,2023-08-10,2023-08-10,,https://img.a.transfermarkt.technology/portrait/medium/631002-1614090749.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Ante Budimir,ante budimir,46413,2021-07-01,2021-07-01,,https://img.a.transfermarkt.technology/portrait/medium/46413-1732219707.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Roberto Arroyo,roberto arroyo,928726,,,,https://img.a.transfermarkt.technology/portrait/medium/928726-1700768041.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Martin Pedroarena,martin pedroarena,1164330,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Aly Kall Doumbia,aly kall doumbia,1460495,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Aarón Escandell,aaron escandell,284430,2024-07-10,2024-07-10,,https://img.a.transfermarkt.technology/portrait/medium/284430-1583309348.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Horațiu Moldovan,horatiu moldovan,525438,2025-07-18,2025-07-18,,https://img.a.transfermarkt.technology/portrait/medium/525438-1718199207.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Miguel Narváez,miguel narvaez,854158,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,David Carmo,david carmo,498237,2025-08-29,2025-08-29,,https://img.a.transfermarkt.technology/portrait/medium/498237-1717008625.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Eric Bailly,eric bailly,286384,2025-08-18,2025-08-18,,https://img.a.transfermarkt.technology/portrait/medium/286384-1696075364.png?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,David Costas,david costas,276111,2021-07-12,2021-07-12,,https://img.a.transfermarkt.technology/portrait/medium/276111-1447154112.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Dani Calvo,dani calvo,326416,2021-07-27,2021-07-27,,https://img.a.transfermarkt.technology/portrait/medium/326416-1600756477.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Oier Luengo,oier luengo,447823,2022-07-04,2022-07-04,,https://img.a.transfermarkt.technology/portrait/medium/447823-1697753579.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Marco Esteban,marco esteban,1065832,,,,https://img.a.transfermarkt.technology/portrait/medium/1065832-1758832570.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Diego Espinosa,diego espinosa,1094227,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Javi López,javi lopez,568158,2025-08-31,2025-08-31,,https://img.a.transfermarkt.technology/portrait/medium/568158-1647530894.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Rahim Alhassane,rahim alhassane,929899,2024-07-15,2024-07-15,,https://img.a.transfermarkt.technology/portrait/medium/929899-1758832463.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Omar Falah,omar falah,1038133,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Nacho Vidal,nacho vidal,216870,2025-01-22,2025-01-22,,https://img.a.transfermarkt.technology/portrait/medium/216870-1510233362.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Lucas Ahijado,lucas ahijado,349884,2019-07-01,2019-07-01,,https://img.a.transfermarkt.technology/portrait/medium/349884-1701786407.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Adrián Fernández,adrian fernandez,1065830,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
2026-07-03T08:32:09,Oviedo,Nicolás Fonseca,nicolas fonseca,462070,2026-01-01,2026-01-01,,https://img.a.transfermarkt.technology/portrait/medium/462070-1721920695.png?lm=1,https://www.transfermarkt.com/real-oviedo/kader/verein/2497/saison_id/2025/plus/1
