squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,beker_starts,beker_apps,euro_starts,euro_apps,cup_starts,cup_apps
Sparta R.,Jaroslav Zelený,jaroslav zeleny,0,0,0,0,7,7,0,0,7,7,0,0
Sparta R.,Adam Sevinsky,adam sevinsky,0,0,0,0,7,7,0,0,7,7,0,0
Sparta R.,Henry Bonello,henry bonello,0,0,0,0,6,6,0,0,6,6,0,0
Sparta R.,Ognjen Bjelicic,ognjen bjelicic,0,0,0,0,6,6,0,0,6,6,0,0
Sparta R.,Rafael Compri,rafael compri,0,0,0,0,6,6,0,0,6,6,0,0
Sparta R.,N'Dri Koffi,n'dri koffi,0,0,0,0,6,6,0,0,6,6,0,0
Sparta R.,Peter Vindahl Jensen,peter vindahl jensen,0,0,0,0,6,6,0,0,6,6,0,0
Sparta R.,Albion Rrahmani,albion rrahmani,0,0,0,0,6,7,0,0,6,7,0,0
Sparta R.,Vincenzo Polito,vincenzo polito,0,0,0,0,5,5,0,0,5,5,0,0
Sparta R.,Ryan Camenzuli,ryan camenzuli,0,0,0,0,5,5,0,0,5,5,0,0
Sparta R.,Joseph Mbong,joseph mbong,0,0,0,0,5,5,0,0,5,5,0,0
Sparta R.,Pavel Kaderábek,pavel kaderabek,0,0,0,0,5,6,0,0,5,6,0,0
Sparta R.,Patrik Vydra,patrik vydra,0,0,0,0,5,6,0,0,5,6,0,0
Sparta R.,Marcelina Emerson,marcelina emerson,0,0,0,0,5,5,0,0,5,5,0,0
Sparta R.,Kaan Kairinen,kaan kairinen,0,0,0,0,5,6,0,0,5,6,0,0
Sparta R.,Ante Coric,ante coric,0,0,0,0,4,6,0,0,4,6,0,0
Sparta R.,Saliou Thioune,saliou thioune,0,0,0,0,4,5,0,0,4,5,0,0
Sparta R.,Asger Sørensen,asger sorensen,0,0,0,0,4,4,0,0,4,4,0,0
Sparta R.,Sivert Mannsverk,sivert mannsverk,0,0,0,0,4,5,0,0,4,5,0,0
Sparta R.,Veljko Birmancevic,veljko birmancevic,0,0,0,0,4,6,0,0,4,6,0,0
Sparta R.,Lukás Haraslín,lukas haraslin,0,0,0,0,4,7,0,0,4,7,0,0
Sparta R.,John Mercado,john mercado,0,0,0,0,4,7,0,0,4,7,0,0
Sparta R.,Matias Garcia,matias garcia,0,0,0,0,4,4,0,0,4,4,0,0
Sparta R.,Eder,eder,0,0,0,0,3,5,0,0,3,5,0,0
Sparta R.,Jan Kuchta,jan kuchta,0,0,0,0,3,8,0,0,3,8,0,0
Sparta R.,Ángelo Preciado,angelo preciado,0,0,0,0,3,4,0,0,3,4,0,0
Sparta R.,Matej Rynes,matej rynes,0,0,0,0,3,5,0,0,3,5,0,0
Sparta R.,Semir Smajlagic,semir smajlagic,0,0,0,0,2,5,0,0,2,5,0,0
Sparta R.,Martin Suchomel,martin suchomel,0,0,0,0,2,3,0,0,2,3,0,0
