squad,gw,date,home_away,opponent,gf,ga,score,result
Dender,14,2025-11-07,H,Zulte Waregem,2,2,2:2,D
Dender,15,2025-11-23,A,Antwerp,2,1,2:1,W
Dender,16,2025-11-29,H,Westerlo,2,2,2:2,D
Dender,17,2025-12-05,A,La Louvière,2,1,2:1,W
Dender,18,2025-12-14,H,Club Brugge,1,5,1:5,L
Dender,19,2025-12-20,H,Standard Liège,0,1,0:1,L
Dender,20,2025-12-27,A,Mechelen,1,1,1:1,D
Dender,21,2026-01-18,H,Antwerp,1,0,1:0,W
Dender,22,2026-01-25,A,Anderlecht,0,0,0:0,D
Dender,23,2026-02-01,H,Genk,1,2,1:2,L
Dender,24,2026-02-07,A,Zulte Waregem,0,1,0:1,L
Dender,25,2026-02-14,A,OH Leuven,2,3,2:3,L
Dender,26,2026-02-21,H,Sint-Truiden,1,4,1:4,L
Dender,27,2026-03-01,A,Cercle Brugge,0,0,0:0,D
Dender,28,2026-03-07,H,Charleroi,2,2,2:2,D
Dender,29,2026-03-14,A,Union SG,0,2,0:2,L
Dender,30,2026-03-22,H,Gent,1,3,1:3,L
Genk,1,2025-07-27,A,Club Brugge,1,2,1:2,L
Genk,1,2026-04-03,A,Antwerp,2,1,2:1,W
Genk,2,2025-08-03,H,Antwerp,1,1,1:1,D
Genk,2,2026-04-12,H,OH Leuven,0,0,0:0,D
Genk,3,2025-08-10,A,Standard Liège,1,2,1:2,L
Genk,3,2026-04-18,A,Westerlo,2,1,2:1,W
Genk,4,2025-08-15,A,OH Leuven,2,1,2:1,W
Genk,4,2026-04-21,H,Charleroi,1,1,1:1,D
Genk,5,2025-09-17,H,Charleroi,0,1,0:1,L
Genk,5,2026-04-25,H,Standard Liège,1,1,1:1,D
Genk,6,2025-08-31,H,Zulte Waregem,3,2,3:2,W
Genk,6,2026-05-02,A,Charleroi,0,2,0:2,L
Genk,7,2025-09-14,A,Anderlecht,1,1,1:1,D
Genk,7,2026-05-10,H,Westerlo,3,0,3:0,W
Genk,8,2025-09-21,H,Union SG,1,2,1:2,L
Genk,8,2026-05-16,A,Standard Liège,0,0,0:0,D
Genk,9,2025-09-28,A,Sint-Truiden,2,1,2:1,W
Genk,9,2026-05-19,H,Antwerp,0,0,0:0,D
Genk,10,2025-10-05,H,Dender,2,1,2:1,W
Genk,10,2026-05-23,A,OH Leuven,2,0,2:0,W
Genk,11,2025-10-19,A,Cercle Brugge,2,2,2:2,D
Genk,12,2025-10-26,H,La Louvière,1,1,1:1,D
Genk,13,2025-11-02,A,Westerlo,1,0,1:0,W
Genk,14,2025-11-09,A,Gent,1,1,1:1,D
Genk,15,2025-11-23,H,Mechelen,0,1,0:1,L
Genk,16,2025-11-30,H,OH Leuven,2,1,2:1,W
Genk,17,2025-12-07,A,Antwerp,0,3,0:3,L
Genk,18,2025-12-14,H,Westerlo,1,1,1:1,D
Genk,19,2025-12-19,A,Charleroi,2,2,2:2,D
Genk,20,2025-12-26,H,Club Brugge,3,5,3:5,L
Genk,21,2026-01-17,A,Zulte Waregem,1,2,1:2,L
Genk,22,2026-01-25,H,Cercle Brugge,1,1,1:1,D
Genk,23,2026-02-01,A,Dender,2,1,2:1,W
Genk,24,2026-02-08,H,Anderlecht,2,0,2:0,W
Genk,25,2026-02-13,A,Mechelen,3,2,3:2,W
Genk,26,2026-02-22,H,Standard Liège,0,3,0:3,L
Genk,27,2026-03-01,H,Gent,3,0,3:0,W
Genk,28,2026-03-07,A,Union SG,1,2,1:2,L
Genk,29,2026-03-15,H,Sint-Truiden,1,0,1:0,W
Genk,30,2026-03-22,A,La Louvière,5,5,5:5,D
Gent,1,2025-07-27,A,Sint-Truiden,1,3,1:3,L
Gent,1,2026-04-06,H,Mechelen,1,1,1:1,D
Gent,2,2025-08-02,H,La Louvière,1,0,1:0,W
Gent,2,2026-04-12,A,Anderlecht,1,3,1:3,L
Gent,3,2025-08-09,H,Union SG,2,3,2:3,L
Gent,3,2026-04-19,H,Sint-Truiden,0,0,0:0,D
Gent,4,2025-08-16,A,Mechelen,1,1,1:1,D
Gent,4,2026-04-22,A,Union SG,0,0,0:0,D
Gent,5,2025-09-23,A,Anderlecht,0,1,0:1,L
Gent,5,2026-04-26,H,Club Brugge,0,2,0:2,L
Gent,6,2025-08-31,H,Club Brugge,1,1,1:1,D
Gent,6,2026-05-03,A,Mechelen,0,1,0:1,L
Gent,7,2025-09-14,A,Antwerp,2,1,2:1,W
Gent,7,2026-05-10,H,Anderlecht,1,1,1:1,D
Gent,8,2025-09-19,H,Dender,3,0,3:0,W
Gent,8,2026-05-16,A,Sint-Truiden,1,1,1:1,D
Gent,9,2025-09-28,A,Cercle Brugge,4,2,4:2,W
Gent,9,2026-05-21,H,Union SG,0,0,0:0,D
Gent,10,2025-10-03,H,Charleroi,2,1,2:1,W
Gent,10,2026-05-24,A,Club Brugge,0,5,0:5,L
Gent,11,2025-10-19,A,Zulte Waregem,1,4,1:4,L
Gent,12,2025-10-25,H,Standard Liège,4,0,4:0,W
Gent,13,2025-11-02,A,OH Leuven,0,4,0:4,L
Gent,14,2025-11-09,H,Genk,1,1,1:1,D
Gent,15,2025-11-22,A,Westerlo,0,0,0:0,D
Gent,16,2025-11-30,H,Sint-Truiden,1,2,1:2,L
Gent,17,2025-12-06,A,Union SG,1,1,1:1,D
Gent,18,2025-12-14,H,Antwerp,0,2,0:2,L
Gent,19,2025-12-21,A,Club Brugge,1,2,1:2,L
Gent,20,2025-12-27,H,Westerlo,2,0,2:0,W
Gent,21,2026-01-18,H,Anderlecht,4,2,4:2,W
Gent,22,2026-01-23,A,Standard Liège,4,0,4:0,W
Gent,23,2026-01-30,A,La Louvière,1,1,1:1,D
Gent,24,2026-02-07,H,OH Leuven,1,3,1:3,L
Gent,25,2026-02-14,A,Charleroi,3,2,3:2,W
Gent,26,2026-02-20,H,Cercle Brugge,0,1,0:1,L
Gent,27,2026-03-01,A,Genk,0,3,0:3,L
Gent,28,2026-03-08,H,Mechelen,3,1,3:1,W
Gent,29,2026-03-13,H,Zulte Waregem,2,0,2:0,W
Gent,30,2026-03-22,A,Dender,3,1,3:1,W
La Louvière,1,2025-07-26,H,Standard Liège,0,2,0:2,L
La Louvière,1,2026-04-06,H,Dender,0,1,0:1,L
La Louvière,2,2025-08-02,A,Gent,0,1,0:1,L
La Louvière,2,2026-04-11,A,Cercle Brugge,0,3,0:3,L
La Louvière,3,2025-08-10,H,Charleroi,1,0,1:0,W
La Louvière,3,2026-04-19,H,Zulte Waregem,0,2,0:2,L
La Louvière,4,2025-08-17,A,Sint-Truiden,1,2,1:2,L
La Louvière,4,2026-04-26,A,Zulte Waregem,0,4,0:4,L
La Louvière,5,2025-08-24,H,Union SG,0,0,0:0,D
La Louvière,5,2026-05-03,A,Dender,1,2,1:2,L
La Louvière,6,2025-08-30,A,Mechelen,2,3,2:3,L
La Louvière,6,2026-05-09,H,Cercle Brugge,4,1,4:1,W
La Louvière,7,2025-09-13,H,Club Brugge,1,0,1:0,W
La Louvière,8,2025-09-20,A,OH Leuven,2,1,2:1,W
La Louvière,9,2025-09-28,A,Dender,0,0,0:0,D
La Louvière,10,2025-10-04,H,Zulte Waregem,0,0,0:0,D
La Louvière,11,2025-10-18,H,Westerlo,0,0,0:0,D
La Louvière,12,2025-10-26,A,Genk,1,1,1:1,D
La Louvière,13,2025-11-02,H,Cercle Brugge,2,1,2:1,W
La Louvière,14,2025-11-08,A,Antwerp,1,3,1:3,L
La Louvière,15,2025-11-23,H,Anderlecht,0,1,0:1,L
La Louvière,16,2025-11-29,A,Charleroi,0,0,0:0,D
La Louvière,17,2025-12-05,H,Dender,1,2,1:2,L
La Louvière,18,2025-12-13,A,Zulte Waregem,2,2,2:2,D
La Louvière,19,2025-12-20,A,Westerlo,1,2,1:2,L
La Louvière,20,2025-12-27,H,OH Leuven,0,0,0:0,D
La Louvière,21,2026-01-16,A,Club Brugge,3,2,3:2,W
La Louvière,22,2026-01-24,H,Sint-Truiden,1,2,1:2,L
La Louvière,23,2026-01-30,H,Gent,1,1,1:1,D
La Louvière,24,2026-02-08,A,Union SG,1,2,1:2,L
La Louvière,25,2026-02-15,A,Anderlecht,0,0,0:0,D
La Louvière,26,2026-02-22,H,Mechelen,0,2,0:2,L
La Louvière,27,2026-02-27,A,Standard Liège,1,1,1:1,D
La Louvière,28,2026-03-06,H,Antwerp,0,0,0:0,D
La Louvière,29,2026-03-15,A,Cercle Brugge,3,1,3:1,W
La Louvière,30,2026-03-22,H,Genk,5,5,5:5,D
Mechelen,1,2025-07-26,A,Zulte Waregem,1,1,1:1,D
Mechelen,1,2026-04-06,A,Gent,1,1,1:1,D
Mechelen,2,2025-08-01,H,Club Brugge,2,1,2:1,W
Mechelen,2,2026-04-12,H,Union SG,0,1,0:1,L
Mechelen,3,2025-08-09,A,Westerlo,1,0,1:0,W
Mechelen,3,2026-04-18,H,Anderlecht,1,2,1:2,L
Mechelen,4,2025-08-16,H,Gent,1,1,1:1,D
Mechelen,4,2026-04-22,A,Club Brugge,1,6,1:6,L
Mechelen,5,2025-08-24,A,Antwerp,1,2,1:2,L
Mechelen,5,2026-04-26,H,Sint-Truiden,1,4,1:4,L
Mechelen,6,2025-08-30,H,La Louvière,3,2,3:2,W
Mechelen,6,2026-05-03,H,Gent,1,0,1:0,W
Mechelen,7,2025-09-12,A,Standard Liège,1,1,1:1,D
Mechelen,7,2026-05-10,A,Union SG,0,3,0:3,L
Mechelen,8,2025-09-21,H,Cercle Brugge,0,0,0:0,D
Mechelen,8,2026-05-17,A,Anderlecht,2,2,2:2,D
Mechelen,9,2025-09-28,A,Charleroi,2,0,2:0,W
