norm_key,name,team,n_points,gw,gh,grid
ruben dias,Rúben Dias,Manchester City,1686,12,8,6 26 17 29 31 19 29 19 6 3 0 0 15 35 54 51 51 32 50 62 26 6 1 0 15 40 74 100 96 82 83 71 32 1 0 0 38 36 33 88 50 51 65 58 33 1 7 4 29 21 33 58 49 57 47 29 7 0 7 6 22 18 22 43 42 35 39 18 10 0 1 0 8 12 15 15 12 10 8 6 3 1 0 0 3 3 6 6 1 1 1 7 0 0 0 0
nico o'reilly,Nico O'Reilly,Manchester City,1702,12,8,2 1 0 0 2 2 1 2 0 1 1 0 0 5 0 1 1 0 2 5 5 0 1 2 1 1 1 8 2 6 9 11 2 2 0 0 9 5 2 5 6 12 9 12 10 4 10 10 21 20 6 12 14 16 20 26 29 11 25 26 22 36 21 32 34 34 50 56 55 21 25 26 20 45 29 59 57 46 62 74 72 32 35 22 20 44 59 92 86 72 82 100 80 59 44 14
marc guehi,Marc Guéhi,Manchester City,2127,12,8,3 5 1 8 5 7 1 0 1 0 0 3 7 3 11 13 3 3 3 1 1 1 1 1 11 16 14 30 23 14 10 5 2 0 6 2 26 31 20 37 16 24 21 16 6 0 9 21 48 40 26 62 39 49 38 30 9 5 20 24 31 43 60 100 86 72 72 63 56 7 9 5 25 46 78 98 83 70 91 82 60 18 5 1 17 33 38 56 43 33 38 41 31 11 3 2
matheus nunes,Matheus Nunes,Manchester City,2029,12,8,29 55 67 100 89 72 86 93 87 87 68 9 34 34 35 68 71 55 81 88 88 46 33 25 40 33 31 53 72 55 73 61 59 19 11 14 24 26 12 22 13 32 24 25 25 2 0 4 11 12 5 8 6 9 5 11 12 0 0 1 2 2 4 5 2 4 1 12 1 1 1 2 5 4 0 4 2 4 4 2 1 0 2 1 1 1 1 4 2 0 0 1 0 0 1 1
rico lewis,Rico Lewis,Manchester City,401,12,8,28 44 72 61 78 72 100 78 67 22 39 0 11 0 17 78 44 33 83 78 94 50 28 6 11 17 6 56 39 22 61 56 50 67 33 44 6 6 6 28 6 33 39 28 17 33 28 6 6 6 11 11 6 11 22 17 22 6 6 0 0 6 0 0 6 6 22 11 22 11 6 0 0 0 6 11 6 11 11 11 33 0 0 0 0 0 6 0 17 11 6 6 0 0 6 0
max alleyne,Max Alleyne,Manchester City,148,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 11 0 0 0 0 22 0 0 0 11 0 22 22 11 0 0 0 0 0 22 33 11 22 89 22 11 0 11 22 44 33 11 67 33 56 100 67 22 0 0 0 22 22 33 78 78 78 44 22 22 0 0 0 33 44 33 67 78 56 22 0 0 0 0 0 0 44 11 33 0 11 0 0 11 11 0 0
gianluigi donnarumma,Gianluigi Donnarumma,Manchester City,639,12,8,0 1 0 0 1 0 0 0 0 0 0 0 5 7 3 2 1 0 0 0 0 0 0 0 35 32 12 7 4 0 0 0 0 0 0 0 93 82 36 29 5 0 0 0 0 0 0 0 100 71 31 17 2 0 0 0 0 0 1 0 31 34 13 13 1 0 0 0 0 0 0 0 2 1 4 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
james trafford,James Trafford,Manchester City,151,12,8,0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 37 3 6 0 0 0 0 0 0 0 0 100 51 23 6 0 0 0 0 0 0 0 0 71 54 17 3 0 0 0 0 0 0 0 0 9 17 3 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bryan mbeumo,Bryan Mbeumo,Manchester United,1296,12,8,2 10 19 46 54 35 69 75 100 96 71 12 2 6 19 35 48 52 46 62 98 73 67 17 2 6 17 35 35 27 40 69 90 67 65 38 4 8 12 19 17 31 17 21 38 44 62 29 6 6 8 10 6 33 23 21 38 31 38 23 0 2 4 12 10 21 19 25 40 17 17 25 2 4 2 12 10 15 12 38 38 19 15 10 2 6 0 12 12 12 15 33 27 29 23 8
benjamin sesko,Benjamin Šeško,Manchester United,646,12,8,0 0 0 13 10 30 10 10 20 7 13 10 0 0 0 10 20 30 20 57 40 7 3 0 3 0 3 27 30 20 87 40 63 23 13 13 17 3 3 10 13 23 50 33 67 27 67 30 23 13 3 10 23 40 50 40 47 23 100 57 0 3 13 27 33 30 50 70 63 20 37 7 7 3 0 37 17 43 27 53 40 17 3 3 7 3 0 7 3 20 30 27 23 10 7 7
