squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Heracles Almelo,2026,summer,out,Jannes Wieckhoff,jannes wieckhoff,Right-Back,25,Germany,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/447801-1764161954.png?lm=1
Heracles Almelo,2026,summer,out,Sava-Arangel Cestic,sava-arangel cestic,Centre-Back,25,Serbia,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/464906-1764162188.png?lm=1
Heracles Almelo,2026,summer,out,Jop Tijink,jop tijink,Centre-Back,21,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/936604-1764162520.png?lm=1
Heracles Almelo,2026,summer,out,Naci Ünüvar,naci unuvar,Left Winger,23,Türkiye,FC Twente,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/508639-1764689822.png?lm=1
Heracles Almelo,2026,summer,out,Lequincio Zeefuik,lequincio zeefuik,Centre-Forward,21,Netherlands,AZ Alkmaar,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/728864-1753350531.jpg?lm=1
Heracles Almelo,2026,summer,out,Alec Van Hoorenbeeck,alec van hoorenbeeck,Centre-Back,27,Belgium,FC Twente,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/405892-1764162246.png?lm=1
Heracles Almelo,2026,summer,out,Walid Ould-Chikh,walid ould-chikh,Attacking Midfield,26,Netherlands,E. Braunschweig,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/597104-1764163013.png?lm=1
Heracles Almelo,2026,summer,out,Erik Ahlstrand,erik ahlstrand,Central Midfield,24,Sweden,St. Pauli,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/501049-1755033056.jpg?lm=1
Telstar,2026,summer,in,Marvin Peersman,marvin peersman,Left-Back,35,Belgium,FC Groningen,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/125769-1764056913.png?lm=1
Telstar,2026,summer,in,Noach Shenkman,noach shenkman,Defensive Midfield,19,Netherlands,AFC Amsterdam,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Telstar,2026,summer,in,Abdelnour Soualhia,abdelnour soualhia,Centre-Back,25,France,AZ Alkmaar,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/944694-1773937535.jpg?lm=1
Telstar,2026,summer,out,Guus Offerhaus,guus offerhaus,Centre-Back,25,Netherlands,Utrecht,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/590777-1768294845.JPG?lm=1
Telstar,2026,summer,out,Devon Koswal,devon koswal,Centre-Back,22,Netherlands,Sandefjord,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/748604-1768295424.JPG?lm=1
Telstar,2026,summer,out,Dylan Mertens,dylan mertens,Attacking Midfield,30,Netherlands,Shafa,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/322616-1768295277.jpg?lm=1
Telstar,2026,summer,out,Danny Bakker,danny bakker,Centre-Back,31,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/250440-1768294965.JPG?lm=1
Telstar,2026,summer,out,Adil Lechkar,adil lechkar,Right-Back,24,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/1006923-1768295243.JPG?lm=1
Telstar,2026,summer,out,Dion Malone,dion malone,Centre-Back,37,Suriname,Retired,,-,https://img.a.transfermarkt.technology/portrait/medium/84405-1768295568.jpg?lm=1
Telstar,2026,summer,out,Tyrick Bodak,tyrick bodak,Goalkeeper,24,Curacao,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/663961-1768295206.JPG?lm=1
Telstar,2026,summer,out,Cedric Hatenboer,cedric hatenboer,Defensive Midfield,21,Netherlands,RSC Anderlecht,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/682568-1768295695.png?lm=1
Telstar,2026,summer,out,Jochem Ritmeester van de Kamp,jochem ritmeester van de kamp,Attacking Midfield,22,Netherlands,Almere City,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/865281-1768295609.JPG?lm=1
Telstar,2026,summer,out,Neville Ogidi Nwankwo,neville ogidi nwankwo,Centre-Back,23,Netherlands,Utrecht,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/951398-1768294891.JPG?lm=1
Telstar,2026,summer,out,Sem van Duijn,sem van duijn,Centre-Forward,22,Netherlands,AZ Alkmaar U21,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/926491-1744829339.jpg?lm=1
Telstar,2026,summer,out,Nökkvi Thórisson,nokkvi thorisson,Centre-Forward,26,Iceland,Sparta R.,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/381349-1753439100.jpg?lm=1
NAC Breda,2026,summer,in,Paul Gladon,paul gladon,Centre-Forward,34,Netherlands,Fortuna Sittard,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/180843-1764160124.png?lm=1
NAC Breda,2026,summer,in,Lars Mol,lars mol,Central Midfield,21,Netherlands,TOP Oss,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/824000-1764251443.JPG?lm=1
NAC Breda,2026,summer,in,Dion Versluis,dion versluis,Centre-Forward,23,Netherlands,Kozakken Boys,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/678666-1755607696.jpg?lm=1
NAC Breda,2026,summer,out,Boy Kemper,boy kemper,Left-Back,27,Netherlands,QPR,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/428502-1755781552.jpg?lm=1
NAC Breda,2026,summer,out,Clint Leemans,clint leemans,Central Midfield,30,Netherlands,De Graafschap,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/250464-1755781771.jpg?lm=1
NAC Breda,2026,summer,out,André Ayew,andre ayew,Centre-Forward,36,Ghana,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/45403-1668429304.jpg?lm=1
NAC Breda,2026,summer,out,Enes Mahmutovic,enes mahmutovic,Centre-Back,29,Luxembourg,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/329055-1755781312.jpg?lm=1
NAC Breda,2026,summer,out,Lars Mol,lars mol,Central Midfield,21,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/824000-1764251443.JPG?lm=1
NAC Breda,2026,summer,out,Denis Odoi,denis odoi,Centre-Back,38,Ghana,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/59641-1643672368.jpg?lm=1
NAC Breda,2026,summer,out,Amine Salama,amine salama,Centre-Forward,25,France,Stade Reims,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/980576-1739282558.jpg?lm=1
NAC Breda,2026,summer,out,Juho Talvitie,juho talvitie,Right Winger,21,Finland,Lommel SK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/741587-1755781998.jpg?lm=1
