target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Lecce,Elseid Hysaj,Right-Back,32,Without ClubWithout Club,1200000.0,93,14/07/2026
Lecce,Otávio,Centre-Back,20,CF Estrela Amadora,1500000.0,,13/07/2026
Lecce,Beau Reus,Goalkeeper,24,Without ClubWithout Club,1500000.0,,26/06/2026
Lecce,Federico Bonazzoli,Centre-Forward,29,US Cremonese,2500000.0,,23/06/2026
Lecce,Dominic Vavassori,Second Striker,20,Atalanta U23,3500000.0,,18/06/2026
Lecce,Gabriele Alesi,Attacking Midfield,22,US Catanzaro,1400000.0,,16/06/2026
Lecce,Alieu Njie,Left Winger,21,Torino FC,3000000.0,,16/06/2026
Lecce,Florinel Coman,Left Winger,28,Al-Gharafa SC,3000000.0,,14/06/2026
Lecce,Giuseppe Aurelio,Left-Back,26,Spezia Calcio,600000.0,,11/06/2026
Lecce,Giuseppe Leone,Defensive Midfield,25,Without ClubWithout Club,2000000.0,,04/06/2026
Lecce,Jonas Heinz,Right-Back,23,Without ClubWithout Club,300000.0,,17/04/2026
Milan,Noussair Mazraoui,Right-Back,28,Manchester United,18000000.0,,12/07/2026
Milan,Konstantinos Karetsas,Attacking Midfield,18,KRC Genk,35000000.0,27,12/07/2026
Milan,Éderson,Central Midfield,27,Atalanta BC,45000000.0,,12/07/2026
Milan,Kerim Alajbegovic,Left Winger,18,Bayer 04 Leverkusen,22000000.0,41,11/07/2026
Milan,João Palhinha,Defensive Midfield,31,Bayern Munich,15000000.0,29,09/07/2026
Milan,Antonio Nusa,Left Winger,21,RB Leipzig,32000000.0,,09/07/2026
Milan,Guéla Doué,Right-Back,23,RC Strasbourg Alsace,20000000.0,,08/07/2026
Milan,Víctor Valdepeñas,Centre-Back,19,Real Madrid Castilla,5000000.0,,08/07/2026
Milan,Taty Castellanos,Centre-Forward,27,West Ham United,28000000.0,,03/07/2026
Milan,Virgil van Dijk,Centre-Back,35,Liverpool FC,15000000.0,14,01/07/2026
Milan,Mattia Liberali,Attacking Midfield,19,US Catanzaro,8500000.0,,01/07/2026
