squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,facup_starts,facup_apps,lcup_starts,lcup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Burnley,Josh Laurent,josh laurent,0,0,0,0,0,0,2,2,1,1,0,0,3,3
Burnley,Loum Tchaouna,loum tchaouna,0,0,0,0,0,0,2,2,1,1,0,0,3,3
Burnley,Maxime Estève,maxime esteve,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Burnley,Hjalmar Ekdal,hjalmar ekdal,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Burnley,Quilindschy Hartman,quilindschy hartman,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Burnley,Jacob Bruun Larsen,jacob bruun larsen,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Burnley,Lesley Ugochukwu,lesley ugochukwu,0,0,0,0,0,0,1,2,1,1,0,0,2,3
Burnley,Ashley Barnes,ashley barnes,0,0,0,0,0,0,2,2,0,2,0,0,2,4
Burnley,Lucas Pires,lucas pires,0,0,0,0,0,0,0,1,2,2,0,0,2,3
Burnley,Zian Flemming,zian flemming,0,0,0,0,0,0,0,1,2,2,0,0,2,3
Burnley,Marcus Edwards,marcus edwards,0,0,0,0,0,0,0,1,2,2,0,0,2,3
Burnley,Bashir Humphreys,bashir humphreys,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Burnley,Joe Worrall,joe worrall,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Burnley,Armando Broja,armando broja,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Burnley,Jaidon Anthony,jaidon anthony,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Burnley,Hannibal Mejbri,hannibal mejbri,0,0,0,0,0,0,0,2,1,1,0,0,1,3
Burnley,Florentino,florentino,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Burnley,Lyle Foster,lyle foster,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Burnley,James Ward-Prowse,james ward-prowse,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Burnley,Aaron Ramsey,aaron ramsey,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Burnley,Axel Tuanzebe,axel tuanzebe,0,0,0,0,0,0,0,0,1,2,0,0,1,2
Burnley,Jaydon Banel,jaydon banel,0,0,0,0,0,0,0,1,0,2,0,0,0,3
Burnley,Mike Trésor,mike tresor,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Burnley,Ellis Clark,ellis clark,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chelsea,Moisés Caicedo,moises caicedo,9,10,0,0,0,0,4,4,2,3,9,10,6,7
Chelsea,Enzo Fernández,enzo fernandez,9,10,0,0,0,0,2,4,3,4,9,10,5,8
Chelsea,Pedro Neto,pedro neto,8,8,0,0,0,0,4,6,1,4,8,8,5,10
Chelsea,Marc Cucurella,marc cucurella,8,9,0,0,0,0,2,3,2,4,8,9,4,7
Chelsea,Robert Sánchez,robert sanchez,7,8,0,0,0,0,5,5,2,2,7,8,7,7
Chelsea,Reece James,reece james,7,8,0,0,0,0,2,2,0,0,7,8,2,2
Chelsea,Malo Gusto,malo gusto,6,7,0,0,0,0,3,4,3,4,6,7,6,8
Chelsea,João Pedro,joao pedro,6,8,0,0,0,0,3,4,2,3,6,8,5,7
Chelsea,Trevoh Chalobah,trevoh chalobah,6,8,0,0,0,0,1,1,3,4,6,8,4,5
Chelsea,Wesley Fofana,wesley fofana,5,6,0,0,0,0,3,4,3,3,5,6,6,7
Chelsea,Jorrel Hato,jorrel hato,4,4,0,0,0,0,5,5,4,5,4,4,9,10
Chelsea,Estêvão,estevao,4,7,0,0,0,0,2,3,2,4,4,7,4,7
