squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Hellas Verona,2026,summer,in,Juan Manuel Cruz,juan manuel cruz,Centre-Forward,26,Argentina,Trento,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/748316-1695711115.jpg?lm=1
Hellas Verona,2026,summer,in,Federico Caia,federico caia,Centre-Forward,23,Italy,Virtus Verona,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Hellas Verona,2026,summer,in,Samuel John Nwachukwu,samuel john nwachukwu,Centre-Back,20,Italy,Arzignano,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/896424-1755186801.jpg?lm=1
Hellas Verona,2026,summer,in,Aiman Rihai,aiman rihai,Right-Back,22,Morocco,Lumezzane,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Hellas Verona,2026,summer,in,Angelo Vapore,angelo vapore,Centre-Forward,20,Italy,Trapani,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Hellas Verona,2026,summer,out,Daniele Ghilardi,daniele ghilardi,Centre-Back,23,Italy,Roma,8000000.0,€8.00m,https://img.a.transfermarkt.technology/portrait/medium/701819-1725530673.jpg?lm=1
Hellas Verona,2026,summer,out,Armel Bella-Kotchap,armel bella-kotchap,Centre-Back,24,Germany,Venezia,7000000.0,€7.00m,https://img.a.transfermarkt.technology/portrait/medium/467563-1782806917.jpg?lm=1
Hellas Verona,2026,summer,out,Mathis Lambourde,mathis lambourde,Centre-Forward,20,France,Servette FC,2300000.0,€2.30m,https://img.a.transfermarkt.technology/portrait/medium/979766-1695915147.jpg?lm=1
Hellas Verona,2026,summer,out,Stefan Mitrović,stefan mitrovic,Left Winger,23,Serbia,Vojvodina,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/726526-1694785618.jpg?lm=1
Hellas Verona,2026,summer,out,Junior Ajayi,junior ajayi,Centre-Forward,21,Cote d'Ivoire,Casertana,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/1111820-1739287294.jpg?lm=1
Hellas Verona,2026,summer,out,Federico Magro,federico magro,Goalkeeper,21,Italy,Casertana,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/818898-1715635789.jpg?lm=1
Hellas Verona,2026,summer,out,Pol Lirola,pol lirola,Right-Back,28,Spain,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/298975-1673514557.jpg?lm=1
Hellas Verona,2026,summer,out,Roberto Gagliardini,roberto gagliardini,Central Midfield,32,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/197471-1641817964.jpg?lm=1
Hellas Verona,2026,summer,out,Jean-Daniel Akpa Akpro,jean-daniel akpa akpro,Central Midfield,33,Cote d'Ivoire,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/170481-1739282767.jpg?lm=1
Hellas Verona,2026,summer,out,Simone Perilli,simone perilli,Goalkeeper,31,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/240675-1659601467.jpg?lm=1
Hellas Verona,2026,summer,out,Gift Orban,gift orban,Centre-Forward,23,Nigeria,Hoffenheim,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1018259-1755091563.jpg?lm=1
