player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Vladyslav Vanat,Girona,FW,23.0,1942,0.28,0.05,1.25,0.83,0.231,0.139,0.139,1.296,0.787,0.926,,vladyslav vanat,2025-09-01,631821,2026-07-03T08:31:48,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/631821-1769784171.jpg?lm=1
Yangel Herrera,Girona,MF,27.0,110,0.0,0.0,0.82,0.0,1.667,0.833,0.833,0.833,2.5,0.0,,yangel herrera,2023-07-14,378293,2026-07-03T08:31:48,2023-07-14,,https://img.a.transfermarkt.technology/portrait/medium/378293-1719230693.jpg?lm=1
Yaser Asprilla,Girona,"FW,MF",21.0,611,0.0,0.0,2.21,0.74,5.294,0.735,0.588,1.618,1.176,0.735,,yaser asprilla,2024-08-23,857818,2026-07-03T08:31:48,2024-08-23,,https://img.a.transfermarkt.technology/portrait/medium/857818-1779994366.png?lm=1
Álex Moreno,Girona,DF,32.0,2559,0.0,0.11,0.6,0.18,2.324,1.021,0.986,1.127,0.704,0.317,,alex moreno,2025-08-22,193098,2026-07-03T08:31:48,2025-08-22,,https://img.a.transfermarkt.technology/portrait/medium/193098-1667289023.jpg?lm=1
Adrián de la Fuente,Levante,DF,26.0,2711,0.07,0.03,1.29,0.3,1.329,1.595,0.598,1.13,0.897,0.033,,adrian de la fuente,,,,,,
Alan Matturro,Levante,DF,20.0,947,0.1,0.1,0.76,0.1,0.0,0.571,1.238,0.667,0.952,0.0,,alan matturro,2025-07-09,861981,2026-07-03T08:31:54,2025-07-09,,https://img.a.transfermarkt.technology/portrait/medium/861981-1692967519.jpg?lm=1
Brugui,Levante,"MF,FW",28.0,1005,0.09,0.09,2.51,0.81,0.982,0.357,0.536,0.982,0.714,0.536,,brugui,,,,,,
Carlos Espí,Levante,FW,20.0,1343,0.74,0.0,3.82,1.61,0.067,0.604,0.47,2.081,1.678,0.671,,carlos espi,2024-07-01,1063338,2026-07-03T08:31:54,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1063338-1759409131.jpg?lm=1
Carlos Álvarez,Levante,MF,21.0,1890,0.14,0.05,1.43,0.52,2.571,0.619,0.619,1.048,2.333,0.095,,carlos alvarez,2023-08-12,668179,2026-07-03T08:31:54,2023-08-12,,https://img.a.transfermarkt.technology/portrait/medium/668179-1726053882.jpg?lm=1
Diego Pampín,Levante,DF,25.0,534,0.0,0.0,0.51,0.0,2.373,0.847,0.847,1.356,1.186,0.0,,diego pampin,2024-07-22,505493,2026-07-03T08:31:54,2024-07-22,,https://img.a.transfermarkt.technology/portrait/medium/505493-1698882821.jpg?lm=1
Goduine Koyalipou,Levante,FW,25.0,247,0.36,0.0,3.64,1.46,0.37,0.37,1.111,0.741,0.37,1.111,,goduine koyalipou,2025-07-29,525140,2026-07-03T08:31:54,2025-07-29,,https://img.a.transfermarkt.technology/portrait/medium/525140-1714738152.png?lm=1
Iker Losada,Levante,MF,23.0,902,0.3,0.1,1.4,0.4,2.2,1.0,1.2,0.6,0.7,0.3,,iker losada,2025-08-21,632741,2026-07-03T08:31:54,2025-08-21,,https://img.a.transfermarkt.technology/portrait/medium/632741-1569337955.jpg?lm=1
Iván Romero,Levante,"FW,MF",24.0,2259,0.28,0.04,2.35,0.72,0.837,0.478,0.876,1.633,3.068,0.279,,ivan romero,2023-08-12,628886,2026-07-03T08:31:54,2023-08-12,,https://img.a.transfermarkt.technology/portrait/medium/628886-1756192561.jpg?lm=1
Jeremy Toljan,Levante,DF,30.0,3164,0.03,0.11,0.26,0.03,2.159,0.881,1.108,0.937,0.54,0.057,,jeremy toljan,2025-07-08,129674,2026-07-03T08:31:54,2025-07-08,,https://img.a.transfermarkt.technology/portrait/medium/129674-1692277806.jpg?lm=1
Jorge Cabello,Levante,DF,21.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,,jorge cabello,2024-07-01,1063333,2026-07-03T08:31:54,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1063333-1726053748.jpg?lm=1
José Luis Morales,Levante,MF,38.0,363,0.0,0.25,2.73,0.99,2.75,0.75,1.25,0.75,1.0,1.0,,jose luis morales,2024-07-05,252677,2026-07-03T08:31:54,2024-07-05,,https://img.a.transfermarkt.technology/portrait/medium/252677-1447315847.jpg?lm=1
