player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Andrija Bulatović,Lens,MF,18,762,0.0,0.47,1.3,0.59,6.588,0.941,2.471,2.235,2.353,0.0,8000000.0,0.115,0.115,0.36,2.0,1.375,0.51,0,4,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Montenegro,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/986291-1749832910.png?lm=1,6.79,82.44,44.83,26.32,28.57,63.64,28.57,53.64,52.14,1.83,0.686,1.715,0.229,0.229,1.029,4.917,0.229,2.402,6.747,0.0,0.457,0.686,7.433,0.0,4.0,0.0,0.0,0.0,0.0,19.0,787.0,andrija bulatovic,2030-06-30,986291.0,2026-07-09T08:46:48,2025-02-03,
Andy Diouf,Lens,MF,22,90,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20000000.0,0.176,0.176,0.0,0.0,3.0,0.276,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/711976-1756099849.jpg?lm=1,7.2,82.5,50.0,0.0,60.0,0.0,0.0,55.56,55.56,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,andy diouf,,,,,
Anthony Bermont,Lens,FW,20,104,0.0,0.0,3.46,1.73,9.167,2.5,0.833,1.667,0.0,0.0,1000000.0,0.257,0.257,0.0,0.0,5.294,1.641,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/1088110-1741877893.jpg?lm=1,6.67,86.21,100.0,36.36,50.0,100.0,60.0,33.33,42.86,0.732,0.0,0.0,0.0,0.0,2.195,8.049,2.195,0.732,2.195,0.0,0.732,1.463,28.537,0.0,0.0,0.0,0.0,0.0,0.0,10.0,123.0,anthony bermont,,,,,
Arthur Masuaku,Lens,"DF,MF",31,227,0.0,0.0,0.4,0.4,2.8,0.4,1.2,0.8,0.4,0.0,2000000.0,0.004,0.004,0.02,0.766,0.383,0.831,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,DR Congo,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/181380-1767006082.jpg?lm=1,6.4,87.12,25.0,0.0,100.0,60.0,16.67,69.23,44.0,0.786,0.0,1.179,0.0,0.393,0.393,8.253,0.786,1.179,3.537,0.0,0.393,1.179,21.223,0.0,1.0,0.0,0.0,0.0,0.0,4.0,229.0,arthur masuaku,,,,,
Deiver Machado,Lens,MF,31,273,0.0,0.0,1.98,0.33,1.333,1.0,0.333,1.333,2.667,0.0,1800000.0,0.068,0.068,0.105,0.525,0.974,0.301,0,1,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Colombia,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/332560-1704797088.jpg?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deiver machado,,,,,
Erawan Garnier,Lens,DF,19,7,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,200000.0,0.0,0.0,4.415,45.0,0.0,4.415,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Thailand,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1176271-1761297351.jpg?lm=1,6.7,88.89,0.0,50.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.429,0.0,6.429,6.429,0.0,0.0,0.0,32.143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,erawan garnier,2027-06-30,1176271.0,2026-07-09T08:46:48,2025-10-24,
Florian Sotoca,Lens,"MF,FW",34,507,0.18,0.0,2.31,0.18,1.964,1.25,0.714,1.607,2.143,0.357,1200000.0,0.141,0.141,0.184,1.376,2.555,0.859,1,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/354726-1701294869.jpg?lm=1,6.55,79.68,75.0,0.0,28.57,66.67,48.15,44.44,45.83,1.302,0.163,1.627,0.325,0.0,0.814,3.58,2.116,0.651,3.255,0.0,0.814,0.325,14.647,0.0,1.0,0.0,0.0,0.0,0.0,26.0,553.0,florian sotoca,2027-06-30,354726.0,2026-07-09T08:46:48,2019-07-01,
Florian Thauvin,Lens,MF,32,2443,0.33,0.22,2.73,0.99,7.454,0.406,0.627,0.701,1.255,0.295,5000000.0,0.434,0.352,0.354,2.869,2.653,0.916,11,6,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/184892-1759159434.jpg?lm=1,7.23,78.99,53.85,28.64,43.1,64.0,36.67,40.82,40.4,2.927,0.585,0.256,0.622,0.073,0.366,4.098,0.402,0.585,3.988,0.073,0.988,1.829,13.646,0.0,3.0,0.0,0.0,0.0,0.0,33.0,2460.0,florian thauvin,2028-06-30,184892.0,2026-07-09T08:46:48,2025-08-08,
Fodé Sylla,Lens,MF,19,99,0.0,0.0,0.0,0.0,0.0,2.727,5.455,2.727,0.0,0.0,900000.0,0.0,0.0,0.032,0.957,0.0,0.406,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/955359-1738847552.jpg?lm=1,6.85,83.93,100.0,0.0,0.0,77.78,66.67,64.29,64.71,0.874,0.0,2.621,0.0,0.0,2.621,9.612,1.748,6.117,7.864,0.0,0.0,0.0,6.117,0.0,0.0,0.0,0.0,0.0,0.0,4.0,103.0,fode sylla,,,,,
Ismaëlo Ganiou,Lens,DF,20,2014,0.13,0.0,0.98,0.18,0.759,1.295,1.205,1.116,0.982,0.0,20000000.0,0.0,0.13,0.0,0.0,0.98,0.0,3,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1020191-1738585625.jpg?lm=1,7.07,86.79,35.77,23.53,71.43,76.92,58.62,62.5,60.8,0.402,0.045,5.005,0.223,0.626,1.296,5.228,2.279,1.341,3.128,0.045,0.089,0.447,7.91,0.0,8.0,0.0,0.0,0.0,0.0,23.0,2014.0,ismaelo ganiou,2028-06-30,1020191.0,2026-07-09T08:46:48,2025-07-01,
Jonathan Gradit,Lens,DF,32,807,0.0,0.0,0.22,0.0,0.333,1.778,1.333,1.667,1.0,0.0,2500000.0,0.012,0.012,0.01,0.222,0.222,0.31,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/126557-1738580496.jpg?lm=1,6.7,91.54,42.42,33.33,60.0,70.59,51.85,59.18,56.58,0.222,0.0,5.674,0.111,1.001,1.78,3.56,1.557,1.335,3.226,0.111,0.222,0.334,6.897,0.0,2.0,0.0,0.0,0.0,0.0,10.0,809.0,jonathan gradit,2028-06-30,126557.0,2026-07-09T08:46:48,2019-08-20,
Kyllian Antonio,Lens,DF,17,190,0.0,0.47,0.47,0.0,0.952,2.381,1.905,0.476,1.905,0.0,3000000.0,0.024,0.024,0.111,0.492,0.492,0.217,0,1,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1186789-1761139494.jpg?lm=1,7.0,86.05,25.0,0.0,66.67,66.67,55.56,80.0,70.83,0.476,0.476,6.19,0.0,0.0,2.381,5.238,2.381,1.905,5.714,0.0,0.476,0.952,7.619,0.0,1.0,0.0,0.0,0.0,0.0,4.0,189.0,kyllian antonio,2028-06-30,1186789.0,2026-07-09T08:46:48,2025-07-01,
Malang Sarr,Lens,DF,26,2925,0.0,0.03,0.71,0.15,0.308,2.338,1.354,0.646,0.738,0.0,20000000.0,0.054,0.054,0.014,0.184,0.706,0.468,0,1,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/344596-1606395203.png?lm=1,7.21,88.52,58.89,50.0,54.55,64.62,60.71,67.14,64.73,0.185,0.031,4.031,0.123,0.769,2.338,5.385,1.569,1.292,2.892,0.154,0.154,0.185,8.277,0.0,11.0,0.0,0.0,0.0,0.0,33.0,2925.0,malang sarr,,,,,
Mamadou Sangare,Lens,MF,23,2323,0.12,0.15,2.05,0.54,0.271,1.55,2.093,1.318,1.667,0.116,40000000.0,0.126,0.126,0.109,1.419,2.032,0.695,3,4,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Mali,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/808348-1726049980.jpg?lm=1,7.11,86.23,66.4,14.29,56.14,60.47,56.36,56.58,56.55,1.47,0.116,1.122,0.657,0.193,1.547,8.006,1.199,2.011,6.15,0.039,1.044,1.238,13.266,0.0,4.0,0.0,0.0,0.0,0.0,29.0,2327.0,mamadou sangare,2030-06-30,808348.0,2026-07-09T08:46:48,2025-08-20,
Mathieu Gorgelin,Lens,GK,34,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.048,0,0,100.0,100.0,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/60543-1704795204.jpg?lm=1,8.3,70.59,37.5,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,90.0,mathieu gorgelin,,,,,
Matthieu Udol,Lens,"MF,DF",29,3002,0.03,0.21,1.41,0.51,3.443,1.527,0.629,0.898,0.808,0.06,8000000.0,0.132,0.132,0.357,1.65,1.41,0.603,1,7,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/344886-1697463909.png?lm=1,7.04,83.46,36.21,37.72,36.59,47.06,47.95,47.45,47.58,1.678,0.659,1.888,0.27,0.24,1.528,3.926,1.049,0.719,2.787,0.03,0.45,0.45,8.991,0.0,11.0,0.0,0.0,0.0,0.0,34.0,3003.0,matthieu udol,2028-06-30,344886.0,2026-07-09T08:46:48,2025-07-15,
Mezian Soares,Lens,MF,15,12,7.5,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,10.0,,0.963,0.963,0.703,9.0,9.0,1.666,1,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mezian soares,,,,,
Morgan Guilavogui,Lens,MF,27,491,0.18,0.0,1.83,0.37,0.727,0.545,1.818,2.727,2.182,0.727,4500000.0,0.363,0.363,0.236,2.23,2.027,0.855,1,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Guinea,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/691786-1771718061.jpg?lm=1,6.78,79.33,78.57,33.33,53.33,57.14,62.5,53.97,55.7,1.856,0.371,0.928,0.557,0.0,0.186,6.124,1.856,1.485,6.309,0.0,0.928,1.485,12.99,0.0,0.0,0.0,0.0,0.0,0.0,16.0,485.0,morgan guilavogui,,,,,
Nidal Čelik,Lens,DF,19,616,0.0,0.0,0.15,0.15,0.147,1.324,1.471,1.912,0.147,0.0,7000000.0,0.017,0.017,0.0,0.0,0.141,0.251,0,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Bosnia-Herzegovina,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/819566-1726634830.jpg?lm=1,6.61,91.61,56.67,0.0,20.0,55.0,60.0,52.38,53.85,0.0,0.0,2.184,0.0,0.728,1.311,3.35,0.874,1.602,3.204,0.437,0.0,0.146,5.388,0.0,2.0,0.0,0.0,0.0,0.0,8.0,618.0,nidal celik,2029-06-30,819566.0,2026-07-09T08:46:48,2025-02-03,
Odsonne Édouard,Lens,FW,27,1796,0.55,0.15,3.01,1.55,0.05,0.2,0.2,1.05,0.85,0.6,12000000.0,0.639,0.603,0.101,0.958,2.874,0.724,12,3,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/344152-1746645817.jpg?lm=1,6.89,80.21,66.67,0.0,40.0,50.0,51.92,30.22,36.13,0.99,0.149,1.089,0.545,0.198,0.149,1.782,1.337,0.248,2.079,0.05,0.743,0.792,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1818.0,odsonne edouard,2028-06-30,344152.0,2026-07-09T08:46:48,2025-09-01,
Rayan Fofana,Lens,"FW,MF",19,798,0.56,0.0,4.06,1.35,0.674,0.112,0.449,1.685,3.82,0.787,8000000.0,0.749,0.749,0.04,0.593,4.269,0.889,5,0,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1160814-1758902837.jpg?lm=1,6.74,75.86,66.67,0.0,44.83,54.55,39.47,53.27,49.66,0.553,0.0,0.553,0.885,0.221,0.221,1.88,1.658,0.663,6.302,0.111,0.442,1.437,3.317,0.0,0.0,0.0,0.0,0.0,0.0,25.0,814.0,rayan fofana,2029-06-30,1160814.0,2026-07-09T08:46:48,2025-07-01,
Robin Risser,Lens,GK,20,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.002,0.061,0.0,0.181,0,1,68.5,33.3,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/743515-1732575159.png?lm=1,7.06,77.56,43.12,0.0,0.0,0.0,100.0,66.67,80.0,0.061,0.0,0.455,0.0,0.0,0.0,7.212,0.121,0.0,0.121,0.03,0.0,0.0,0.424,2.364,11.0,0.364,0.303,0.152,0.0,33.0,2970.0,robin risser,2030-06-30,743515.0,2026-07-09T08:46:48,2025-07-04,
Ruben Aguilar,Lens,MF,32,1720,0.1,0.1,0.68,0.16,4.503,1.257,1.257,1.361,0.628,0.262,2500000.0,0.054,0.054,0.166,1.336,0.668,0.549,2,2,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/203746-1614090581.jpg?lm=1,6.95,84.38,39.58,19.54,50.0,60.53,61.54,53.77,55.3,1.348,0.415,1.607,0.156,0.57,1.452,4.303,0.829,1.192,2.955,0.0,0.467,0.363,12.65,0.0,3.0,0.0,0.0,0.0,0.0,26.0,1736.0,ruben aguilar,2028-06-30,203746.0,2026-07-09T08:46:48,2023-09-01,
Samson Baidoo,Lens,DF,21,1827,0.1,0.05,0.79,0.2,0.0,1.232,1.133,0.985,0.246,0.049,25000000.0,0.118,0.118,0.022,0.148,0.79,0.302,2,1,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Austria,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/655217-1722523870.png?lm=1,7.16,92.63,66.67,0.0,100.0,61.76,48.35,58.97,53.25,0.197,0.049,4.078,0.197,1.228,1.13,5.158,2.162,1.032,2.26,0.0,0.147,0.344,3.439,0.0,8.0,0.0,0.0,0.0,0.0,23.0,1832.0,samson baidoo,2030-06-30,655217.0,2026-07-09T08:46:48,2025-07-17,
Saud Abdulhamid,Lens,MF,26,1352,0.13,0.27,0.53,0.2,3.133,0.6,1.467,1.733,0.933,0.067,9000000.0,0.074,0.074,0.185,1.551,0.539,0.55,2,4,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,Saudi Arabia,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/631927-1730124451.jpg?lm=1,6.94,88.87,42.31,33.33,26.67,64.71,33.33,48.6,46.09,1.593,0.332,1.261,0.133,0.133,0.73,4.58,0.465,1.46,3.451,0.066,0.398,0.265,14.735,0.0,3.0,0.0,0.0,0.0,0.0,25.0,1356.0,saud abdulhamid,2029-06-30,631927.0,2026-07-09T08:46:48,2026-07-01,NEW
Wesley Saïd,Lens,MF,30,1991,0.5,0.09,2.71,1.22,0.995,0.407,0.679,1.674,0.588,0.588,5000000.0,0.526,0.493,0.258,1.179,2.62,0.905,12,2,,,35,1.0294117647058822,0.872340425531915,66,1.9411764705882355,0.8222222222222225,France,Second Striker,https://img.a.transfermarkt.technology/portrait/medium/182916-1593971458.jpg?lm=1,7.11,82.5,62.22,28.57,60.47,66.67,36.59,42.86,41.44,1.209,0.448,0.851,0.448,0.0,0.448,2.687,0.672,0.627,2.687,0.0,0.448,1.164,8.239,0.0,3.0,0.0,0.0,0.0,0.0,29.0,2010.0,wesley said,,,,,
Alexsandro Ribeiro,Lille,DF,25,509,0.0,0.0,1.24,0.35,0.175,1.93,1.579,1.754,1.404,0.0,15000000.0,0.044,0.044,0.0,0.0,1.233,0.619,0,0,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Brazil,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/648020-1666689768.jpg?lm=1,6.68,90.07,52.78,0.0,66.67,72.73,68.97,62.5,65.57,0.0,0.0,5.93,0.0,0.523,1.919,5.233,3.488,1.395,3.488,0.0,0.0,0.349,2.965,0.0,2.0,0.0,0.0,0.0,0.0,9.0,516.0,alexsandro ribeiro,,,,,
André Gomes,Lille,MF,32,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,3.096,0,0,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Portugal,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/221025-1774688269.jpg?lm=1,6.9,100.0,100.0,0.0,100.0,0.0,0.0,42.86,42.86,0.0,0.0,0.0,0.0,0.0,0.0,12.857,0.0,0.0,19.286,0.0,0.0,19.286,12.857,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,andre gomes,,,,,
Arnaud Bodart,Lille,GK,27,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.186,0,0,57.1,0.0,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Belgium,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/417278-1704961747.jpg?lm=1,6.73,73.63,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,0.0,0.0,5.575,0.0,0.0,0.0,0.398,0.0,0.0,1.593,1.593,0.0,0.398,0.796,0.398,0.0,3.0,226.0,arnaud bodart,2027-06-30,417278.0,2026-07-09T08:46:51,2025-07-01,
Ayyoub Bouaddi,Lille,MF,17,2321,0.0,0.04,0.62,0.19,0.775,1.047,1.55,1.434,0.93,0.0,50000000.0,0.041,0.041,0.077,0.803,0.612,0.461,0,1,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Morocco,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/1097139-1741119960.jpg?lm=1,6.74,84.73,75.51,15.79,60.71,62.71,64.1,55.19,56.57,0.808,0.115,1.116,0.308,0.269,1.039,5.813,0.962,1.424,4.504,0.038,0.577,1.309,10.393,0.0,7.0,0.0,0.0,0.0,0.0,30.0,2338.0,ayyoub bouaddi,2029-06-30,1097139.0,2026-07-09T08:46:51,2023-07-01,
Aïssa Mandi,Lille,DF,33,2424,0.04,0.0,0.52,0.15,0.372,1.636,0.781,0.632,0.632,0.037,1000000.0,0.032,0.032,0.037,0.37,0.518,0.402,1,0,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Algeria,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/80293-1780325909.jpg?lm=1,7.24,91.9,66.51,11.11,66.67,66.67,72.88,63.1,67.13,0.37,0.037,3.918,0.185,0.554,1.626,4.731,1.589,0.813,1.959,0.074,0.111,0.148,8.575,0.0,10.0,0.0,0.0,0.0,0.0,29.0,2435.0,aissa mandi,2026-06-30,80293.0,2026-07-06T09:12:20,2024-08-01,
Benjamin André,Lille,MF,34,2332,0.08,0.08,1.04,0.23,0.849,1.197,1.544,1.351,1.699,0.116,3000000.0,0.099,0.099,0.075,0.889,1.044,0.453,2,2,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,France,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/84301-1666690769.jpg?lm=1,7.12,83.41,68.37,14.29,60.87,53.03,55.41,58.82,57.34,0.887,0.077,1.582,0.309,0.193,1.273,5.517,3.356,1.35,4.629,0.0,0.887,0.54,14.968,0.0,11.0,0.0,0.0,0.0,0.0,27.0,2333.0,benjamin andre,2028-06-30,84301.0,2026-07-09T08:46:51,2019-07-17,
Berke Özer,Lille,GK,25,2834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.003,0.095,0.0,0.213,0,1,67.6,40.6,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Türkiye,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/361256-1773343032.jpg?lm=1,7.22,79.73,40.06,0.0,0.0,66.67,81.82,86.67,84.62,0.064,0.0,0.699,0.0,0.0,0.0,7.114,0.286,0.064,0.413,0.032,0.0,0.0,0.984,2.287,13.0,0.476,0.349,0.254,0.0,32.0,2834.0,berke ozer,2029-06-30,361256.0,2026-07-09T08:46:51,2025-08-14,
Calvin Verdonk,Lille,DF,28,790,0.0,0.0,0.34,0.11,3.409,1.705,1.136,1.591,0.341,0.0,2500000.0,0.005,0.005,0.08,0.917,0.344,0.419,0,0,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Indonesia,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/258364-1723716421.jpg?lm=1,6.69,82.5,29.27,20.69,0.0,66.67,59.09,51.43,54.39,0.905,0.113,2.827,0.113,0.113,2.035,5.653,1.47,1.131,2.035,0.0,0.678,0.0,12.211,0.0,2.0,0.0,0.0,0.0,0.0,18.0,796.0,calvin verdonk,2028-06-30,258364.0,2026-07-09T08:46:51,2025-09-01,
Chancel Mbemba,Lille,DF,30,954,0.0,0.0,0.66,0.28,0.0,1.226,0.755,0.943,0.566,0.0,2000000.0,0.032,0.032,0.056,0.379,0.664,0.421,0,0,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,DR Congo,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/203348-1767006126.jpg?lm=1,6.77,91.84,55.88,0.0,33.33,64.29,71.43,51.22,59.42,0.378,0.094,6.139,0.189,0.378,1.322,3.589,1.889,0.85,1.983,0.189,0.094,0.094,5.005,0.0,4.0,0.0,0.0,0.0,0.0,13.0,953.0,chancel mbemba,2026-06-30,203348.0,2026-07-06T09:12:20,2025-09-01,
Ethan Mbappé,Lille,"MF,FW",18,567,0.48,0.16,2.22,1.11,5.397,0.317,1.111,1.111,1.429,0.159,8000000.0,0.317,0.317,0.253,2.547,2.377,0.579,3,1,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,France,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/903666-1716562689.jpg?lm=1,6.84,82.7,50.0,38.24,30.0,50.0,0.0,42.65,40.85,2.377,0.317,0.158,0.634,0.0,0.475,3.803,0.0,1.109,4.595,0.0,0.317,0.951,13.31,0.0,0.0,0.0,0.0,0.0,0.0,18.0,568.0,ethan mbappe,2027-06-30,903666.0,2026-07-09T08:46:51,2024-07-04,
Félix Correia,Lille,MF,24,2053,0.18,0.22,1.62,0.35,3.684,0.921,0.57,0.614,1.228,0.132,10000000.0,0.246,0.246,0.249,1.653,1.568,0.776,4,5,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Portugal,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/479648-1710239596.jpg?lm=1,6.87,78.73,63.16,29.76,35.42,48.28,35.48,49.66,47.19,1.654,0.435,0.479,0.479,0.087,0.914,3.525,0.479,0.609,3.177,0.087,0.696,0.74,13.709,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2068.0,felix correia,2029-06-30,479648.0,2026-07-09T08:46:51,2025-07-17,
Gaëtan Perrin,Lille,"MF,FW",29,338,0.27,0.0,1.86,1.07,9.211,0.526,2.105,2.105,0.263,0.0,5000000.0,0.178,0.178,0.321,2.866,2.006,0.714,1,0,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,France,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/353404-1672330321.jpg?lm=1,6.72,78.69,66.67,27.78,55.56,66.67,0.0,46.0,45.1,2.601,0.26,0.0,0.26,0.0,0.52,3.382,0.0,2.081,5.983,0.0,1.04,2.601,11.705,0.0,0.0,0.0,0.0,0.0,0.0,12.0,346.0,gaetan perrin,2028-06-30,353404.0,2026-07-09T08:46:51,2026-02-02,
Hamza Igamane,Lille,FW,22,432,1.04,0.21,5.0,1.87,1.042,0.417,0.833,1.25,0.625,1.042,18000000.0,0.834,0.834,0.147,0.887,5.32,1.455,5,1,,,37,1.088235294117647,0.8297872340425533,52,1.5294117647058822,0.5111111111111112,Morocco,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/885445-1756290289.jpg?lm=1,6.94,74.8,75.0,20.0,59.09,57.14,45.0,47.92,47.06,0.841,0.421,0.421,1.051,0.0,0.421,3.154,1.893,0.841,4.836,0.0,1.051,2.734,10.304,0.0,0.0,0.0,0.0,0.0,0.0,13.0,428.0,hamza igamane,2030-06-30,885445.0,2026-07-09T08:46:51,2025-08-29,
