player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Stanley N'Soki,Union Berlin,"DF,MF",26,816,0.11,0.22,0.33,0.11,1.319,1.978,0.989,0.879,0.879,0.0,,0.014,0.014,0.022,0.43,0.323,0.118,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stanley n'soki,,,,,
Tim Skarke,Union Berlin,"MF,FW",28,623,0.14,0.14,2.02,0.72,1.884,0.145,0.58,1.159,1.304,0.58,1500000.0,0.147,0.147,0.235,1.784,2.27,0.611,1,1,,,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/287920-1747224742.jpg?lm=1,6.58,70.13,35.71,50.0,41.67,57.14,16.67,43.75,34.72,1.745,0.291,1.454,0.145,0.0,0.145,4.507,0.582,0.582,3.053,0.0,0.582,0.727,7.124,0.0,0.0,0.0,0.0,0.0,0.0,22.0,619.0,tim skarke,2022-07-01,287920,2026-07-03T17:45:16,2022-07-01,
Tom Rothe,Union Berlin,"MF,DF",20,1029,0.17,0.0,1.66,0.44,3.07,1.842,1.316,0.877,0.526,0.175,10000000.0,0.141,0.141,0.08,0.972,1.68,0.191,2,0,,,Germany,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/798043-1755624376.jpg?lm=1,6.55,72.82,35.0,20.0,31.82,70.0,61.9,37.5,45.38,0.953,0.087,3.725,0.346,0.173,1.646,3.898,2.252,1.213,2.859,0.087,0.26,0.606,7.016,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1039.0,tom rothe,2024-08-07,798043,2026-07-03T17:45:16,2024-08-07,
Abdoul Coulibaly,Werder Bremen,DF,18,2120,0.04,0.0,0.25,0.04,0.551,1.017,0.593,0.763,0.381,0.042,28000000.0,0.0,0.04,0.0,0.0,0.25,0.0,1,0,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1084638-1756027638.jpg?lm=1,6.47,86.71,40.4,23.08,66.67,51.85,45.57,53.66,49.69,0.297,0.0,4.538,0.0,0.721,0.975,2.799,1.527,0.594,1.866,0.127,0.085,0.339,5.047,0.0,3.0,0.0,0.0,0.0,0.0,27.0,2122.0,abdoul coulibaly,,,,,
Amos Pieper,Werder Bremen,DF,27,1502,0.0,0.0,0.48,0.12,0.479,1.557,1.437,0.599,0.838,0.12,4000000.0,0.023,0.023,0.004,0.119,0.477,0.131,0,0,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/334221-1756028162.jpg?lm=1,7.03,85.67,46.62,50.0,0.0,74.19,71.23,72.58,71.85,0.12,0.0,6.762,0.12,0.957,1.496,3.172,3.112,1.376,2.693,0.18,0.06,0.0,5.924,0.0,2.0,0.0,0.0,0.0,0.0,19.0,1504.0,amos pieper,2022-07-01,334221,2026-07-03T17:45:20,2022-07-01,
Cameron Puertas,Werder Bremen,MF,26,1846,0.05,0.1,1.8,0.39,3.756,0.927,1.805,1.805,1.073,0.098,7000000.0,0.107,0.107,0.117,1.35,1.784,0.34,1,2,,,Spain,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/449592-1758702596.jpg?lm=1,6.66,85.23,61.82,20.78,36.59,61.67,36.11,46.19,44.72,1.294,0.24,1.054,0.575,0.383,0.911,5.032,0.623,1.773,4.649,0.048,0.431,0.719,9.201,0.0,2.0,0.0,0.0,0.0,0.0,28.0,1878.0,cameron puertas,,,,,
Felix Agu,Werder Bremen,"DF,MF",25,744,0.0,0.0,0.24,0.12,1.687,1.325,1.687,0.964,1.687,0.361,4500000.0,0.01,0.01,0.053,0.832,0.238,0.155,0,0,,,Nigeria,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/393512-1722887707.jpg?lm=1,6.66,79.31,33.33,38.46,57.14,75.0,77.78,66.1,68.83,0.845,0.0,2.654,0.0,0.845,1.327,4.946,1.689,1.81,4.705,0.241,0.845,0.483,7.118,0.0,1.0,0.0,0.0,0.0,0.0,11.0,746.0,felix agu,2027-06-30,393512,2026-07-03T17:45:20,2020-07-01,
Isaac Schmidt,Werder Bremen,"MF,DF",25,682,0.13,0.0,0.66,0.26,1.053,1.447,1.316,1.053,0.395,0.0,2200000.0,0.07,0.07,0.069,1.341,0.671,0.432,1,0,,,Switzerland,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/449597-1758702525.jpg?lm=1,6.64,77.3,47.06,14.29,58.82,68.75,69.57,52.73,57.69,1.329,0.0,2.659,0.133,0.0,1.462,5.052,2.127,1.462,3.855,0.133,0.399,1.329,11.566,0.0,0.0,0.0,0.0,0.0,0.0,19.0,677.0,isaac schmidt,,,,,
Isak Hansen-Aarøen,Werder Bremen,MF,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,Norway,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/670116-1722887545.jpg?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isak hansen-aaroen,,,,,
Jens Stage,Werder Bremen,MF,28,2460,0.37,0.07,2.05,0.77,0.513,0.659,1.172,1.282,1.099,0.11,14000000.0,0.221,0.221,0.126,0.94,2.061,0.457,10,2,,,Denmark,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/289835-1660208628.jpg?lm=1,6.98,75.34,41.18,38.46,52.0,75.61,64.21,49.41,54.72,0.948,0.146,1.459,0.547,0.328,0.656,4.23,2.224,1.13,3.063,0.036,0.401,0.474,8.205,0.0,3.0,0.0,0.0,0.0,0.0,29.0,2468.0,jens stage,2028-06-30,289835,2026-07-03T17:45:20,2022-07-01,
