player,norm_key,squad,pos,90s,dead_ball_passes_per90,free_kick_passes_per90,throw_ins_per90,corner_kicks_per90,inswing_corners_per90,outswing_corners_per90,straight_corners_per90,sca_sca90,dead_ball_sca_per90,gca_gca90,dead_ball_gca_per90,fouls_per90_fbref,fouled_per90_fbref,pens_won_per90_fbref,pens_conceded_per90_fbref
Bradley Burrowes,bradley burrowes,Aston Villa,MF,0.2,,,,,,,,,,,,0.0,5.0,,
Brajan Gruda,brajan gruda,Brighton,MF,8.0,,,,,,,,,,,,1.375,1.75,,
Brenden Aaronson,brenden aaronson,Leeds United,"MF,FW",27.2,,,,,,,,,,,,0.7352941176470589,1.875,,
Brennan Johnson,brennan johnson,Crystal Palace,"MF,FW",12.4,,,,,,,,,,,,1.4516129032258065,0.8870967741935484,,
Brennan Johnson,brennan johnson,Tottenham Hotspur,"MF,FW",6.8,,,,,,,,,,,,0.29411764705882354,0.5882352941176471,,
Brian Brobbey,brian brobbey,Sunderland,FW,21.4,,,,,,,,,,,,1.5420560747663552,1.7289719626168225,,
Bruno Fernandes,bruno fernandes,Manchester Utd,MF,34.0,,,,,,,,,,,,0.7058823529411765,1.0294117647058822,,
Bruno Guimarães,bruno guimaraes,Newcastle United,MF,27.3,,,,,,,,,,,,1.6483516483516483,2.7472527472527473,,
Bryan Mbeumo,bryan mbeumo,Manchester Utd,"MF,FW",29.0,,,,,,,,,,,,0.7931034482758621,0.9655172413793104,,
Bukayo Saka,bukayo saka,Arsenal,"FW,MF",24.7,,,,,,,,,,,,1.3360323886639676,2.1862348178137654,,
Callum Hudson-Odoi,callum hudson-odoi,Nottingham Forest,MF,20.5,,,,,,,,,,,,0.5853658536585366,0.5853658536585366,,
Callum Marshall,callum marshall,West Ham United,FW,0.7,,,,,,,,,,,,0.0,0.0,,
Callum Olusesi,callum olusesi,Tottenham Hotspur,MF,0.2,,,,,,,,,,,,0.0,0.0,,
Callum Wilson,callum wilson,West Ham United,FW,13.9,,,,,,,,,,,,0.8633093525179856,1.0071942446043165,,
Calvin Bassey,calvin bassey,Fulham,DF,28.2,,,,,,,,,,,,0.9929078014184397,1.4184397163120568,,
Caoimhín Kelleher,caoimhin kelleher,Brentford,GK,37.0,,,,,,,,,,,,0.08108108108108109,0.16216216216216217,,
Carlos Alcaraz,carlos alcaraz,Everton,MF,7.7,,,,,,,,,,,,1.2987012987012987,1.5584415584415585,,
