squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Fiorentina,리그,ita.1,2026-11-08,H,Juventus,0,0,0-0,,scheduled,401875003
Fiorentina,리그,ita.1,2026-11-22,A,Monza,0,0,0-0,,scheduled,401875009
Fiorentina,리그,ita.1,2026-11-29,A,Udinese,0,0,0-0,,scheduled,401875031
Fiorentina,리그,ita.1,2026-12-06,H,Cagliari,0,0,0-0,,scheduled,401875107
Fiorentina,리그,ita.1,2026-12-13,A,Parma,0,0,0-0,,scheduled,401874761
Fiorentina,리그,ita.1,2026-12-20,H,Bologna,0,0,0-0,,scheduled,401874836
Fiorentina,리그,ita.1,2027-01-03,H,Lazio,0,0,0-0,,scheduled,401875014
Fiorentina,리그,ita.1,2027-01-06,A,Milan,0,0,0-0,,scheduled,401875034
Fiorentina,리그,ita.1,2027-01-10,H,Lecce,0,0,0-0,,scheduled,401875046
Fiorentina,리그,ita.1,2027-01-17,A,Napoli,0,0,0-0,,scheduled,401875092
Fiorentina,리그,ita.1,2027-01-24,H,Sassuolo,0,0,0-0,,scheduled,401875022
Fiorentina,리그,ita.1,2027-01-31,A,Atalanta,0,0,0-0,,scheduled,401875109
Fiorentina,리그,ita.1,2027-02-07,H,Udinese,0,0,0-0,,scheduled,401875136
Fiorentina,리그,ita.1,2027-02-14,A,Frosinone,0,0,0-0,,scheduled,401874985
Fiorentina,리그,ita.1,2027-02-21,H,Inter,0,0,0-0,,scheduled,401874802
Fiorentina,리그,ita.1,2027-02-28,A,Torino,0,0,0-0,,scheduled,401874844
Fiorentina,리그,ita.1,2027-03-07,H,Venezia,0,0,0-0,,scheduled,401875038
Fiorentina,리그,ita.1,2027-03-14,A,Cagliari,0,0,0-0,,scheduled,401875141
Fiorentina,리그,ita.1,2027-03-21,H,Genoa,0,0,0-0,,scheduled,401875147
Fiorentina,리그,ita.1,2027-04-04,A,Como,0,0,0-0,,scheduled,401875065
Fiorentina,리그,ita.1,2027-04-11,H,Milan,0,0,0-0,,scheduled,401875093
Fiorentina,리그,ita.1,2027-04-18,H,Parma,0,0,0-0,,scheduled,401875152
Fiorentina,리그,ita.1,2027-04-25,A,Juventus,0,0,0-0,,scheduled,401875156
Fiorentina,리그,ita.1,2027-05-02,A,Bologna,0,0,0-0,,scheduled,401875103
Fiorentina,리그,ita.1,2027-05-09,H,Roma,0,0,0-0,,scheduled,401874885
Fiorentina,리그,ita.1,2027-05-16,A,Lecce,0,0,0-0,,scheduled,401875158
Fiorentina,리그,ita.1,2027-05-23,H,Monza,0,0,0-0,,scheduled,401874840
Fiorentina,리그,ita.1,2027-05-30,A,Lazio,0,0,0-0,,scheduled,401874861
Genoa,리그,ita.1,2026-08-22,H,Napoli,0,0,0-0,,scheduled,401874929
Genoa,리그,ita.1,2026-08-30,A,Lazio,0,0,0-0,,scheduled,401874742
Genoa,리그,ita.1,2026-09-04,H,Como,0,0,0-0,,scheduled,401874744
Genoa,리그,ita.1,2026-09-12,H,Frosinone,0,0,0-0,,scheduled,401874991
Genoa,리그,ita.1,2026-09-20,A,Parma,0,0,0-0,,scheduled,401874801
Genoa,리그,ita.1,2026-10-11,H,Fiorentina,0,0,0-0,,scheduled,401874947
Genoa,리그,ita.1,2026-10-17,A,Roma,0,0,0-0,,scheduled,401874935
Genoa,리그,ita.1,2026-10-25,H,Venezia,0,0,0-0,,scheduled,401874952
Genoa,리그,ita.1,2026-10-28,H,Juventus,0,0,0-0,,scheduled,401874988
Genoa,리그,ita.1,2026-11-01,A,Lecce,0,0,0-0,,scheduled,401874968
Genoa,리그,ita.1,2026-11-08,H,Milan,0,0,0-0,,scheduled,401875018
Genoa,리그,ita.1,2026-11-22,A,Sassuolo,0,0,0-0,,scheduled,401874960
Genoa,리그,ita.1,2026-11-29,A,Inter,0,0,0-0,,scheduled,401874977
Genoa,리그,ita.1,2026-12-06,H,Torino,0,0,0-0,,scheduled,401875017
Genoa,리그,ita.1,2026-12-13,A,Atalanta,0,0,0-0,,scheduled,401875032
Genoa,리그,ita.1,2026-12-20,H,Udinese,0,0,0-0,,scheduled,401875045
