target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Marseille,Yassine Titraoui,Central Midfield,22,Royal Charleroi SC,7000000.0,,02/06/2026
Marseille,Mattia Zaccagni,Left Winger,31,SS Lazio,7500000.0,,12/05/2026
Marseille,Anis Hadj Moussa,Right Winger,24,Feyenoord Rotterdam,23000000.0,,05/05/2026
Marseille,Pablo Pagis,Left Winger,23,FC Lorient,15000000.0,,05/05/2026
Marseille,Crysencio Summerville,Left Winger,24,West Ham United,35000000.0,,04/05/2026
Marseille,John Stones,Centre-Back,32,Without ClubWithout Club,12000000.0,,29/04/2026
Marseille,Alfie Osborne,Centre-Back,17,Heart of Midlothian FC U18,,,17/04/2026
Marseille,Adam Aznou,Left-Back,20,Everton FC,6000000.0,,17/04/2026
Marseille,Taras Mykhavko,Centre-Back,21,Dynamo Kyiv,10000000.0,,16/03/2026
Metz,Alassane Sy,Defensive Midfield,21,AS Académie Génération Foot,250000.0,,11/06/2026
Metz,Abdourahmane Mbodji,Centre-Forward,18,AS Académie Génération Foot,700000.0,,11/05/2026
Monaco,Evertton Araújo,Defensive Midfield,23,CR Flamengo,10000000.0,,06/07/2026
Monaco,Mory Kera,Defensive Midfield,18,Royal Charleroi SC,150000.0,,06/07/2026
Monaco,Ime Okon,Centre-Back,22,Hannover 96,2000000.0,,06/07/2026
Monaco,Rahim Alhassane,Left-Back,24,Real Oviedo,1500000.0,,05/07/2026
Monaco,Mathys Detourbet,Left Winger,19,AS Monaco,15000000.0,,01/07/2026
Monaco,Farès Ghedjemis,Right Winger,23,Frosinone Calcio,7500000.0,,30/06/2026
Monaco,Léo Pereira,Centre-Back,30,CR Flamengo,12000000.0,,29/06/2026
Monaco,Emmanuel Mbemba,Left-Back,18,Without ClubWithout Club,,,29/06/2026
Monaco,Romelu Lukaku,Centre-Forward,33,SSC Napoli,6000000.0,,29/06/2026
Monaco,Sadibou Sané,Centre-Back,22,FC Metz,7000000.0,,28/06/2026
Monaco,Mathys Detourbet,Left Winger,19,AS Monaco,15000000.0,,28/06/2026
Monaco,Mouad Dahak,Left Winger,20,Union Touarga Sportif,600000.0,,25/06/2026
Monaco,Han-beom Lee,Centre-Back,24,FC Midtjylland,3000000.0,,16/06/2026
Monaco,Brian Gutiérrez,Attacking Midfield,23,Deportivo Guadalajara,8000000.0,,16/06/2026
Monaco,Mert Kömür,Attacking Midfield,20,FC Augsburg,12000000.0,,13/06/2026
Monaco,Elias Havel,Centre-Forward,23,TSV Hartberg,2200000.0,,11/06/2026
Monaco,Ibrahima Cissé,Centre-Forward,18,Jong KAA Gent,900000.0,,07/06/2026
Monaco,Loïs Openda,Centre-Forward,26,Juventus FC,25000000.0,,04/06/2026
